Table 1: Contract Year (CY) 2027 DME Diabetic Shoes and Inserts Medicare FFS Data Projections,,,,,,
HCPCS Code,DME Diabetic Shoes and Inserts HCPCS Description,Projected Medicare FFS Allowed Amount1,Projected Medicare FFS Allowed Service Unit1,Projected Medicare FFS Allowed Service Units as Percent of Total,Average Projected Price (Column C / Column D),Projected Weighted Average Price (Column E x Column F)
A5500,Diab shoe for density insert,"$26,702,759","$296,416",25.64%,$90.09,$23.10
A5501,Diabetic custom molded shoe,"$584,690","$2,201",0.19%,$265.65,$0.51
A5503,Diabetic shoe with roller/rockr,"$20,741",$458,0.04%,$45.29,$0.02
A5504,Diabetic shoe with wedge,"$13,325",$295,0.03%,$45.17,$0.01
A5505,Diabetic shoe with metatarsal bar,"$5,856",$139,0.01%,$42.13,$0.01
A5506,Diabetic shoe with off set heel,"$2,960",$68,0.01%,$43.53,$0.00
A5507,Modification diabetic shoe  ,"$9,596",$209,0.02%,$45.91,$0.01
A5512,Multi den insert direct form,"$17,810,708","$484,576",41.92%,$36.76,$15.41
A5513,Multi den insert custom mold,"$8,027,911","$146,664",12.69%,$54.74,$6.94
A5514,Multi den insert dir carv/cam,"$12,359,829","$224,913",19.46%,$54.95,$10.69
Total,,"$65,538,375","$1,155,939",100.00%,$724.21,$56.70
1These amounts are based on data from the first three quarters of 2025 Medicare FFS published prices and utilization.,,,,,,
,,,,,,
Table 2: Contract Year (CY) 2027 Durable Medical Equipment (DME) Diabetic Shoes or Inserts Copayment Limit for Lower and Intermediate Maximum Out-of-Pocket (MOOP) Types,,,,,,
Row Reference,Description,Lower and Intermediate MOOP Types,,,,
A,CY 2027 projected total average Medicare FFS allowed amount*,$56.70 ,,,,
B,CY 2027 coinsurance limit per § 422.100(f)(6)(i),50%,,,,
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(i) (row A multiplied by row B)2,$28.35 ,,,,
D,Final CY 2027 copayment limit per § 422.100(f)(6)(i) and (j)(1) (row C rounded per § 422.100(f)(6)(ii))  ,$30.00 ,,,,
"* This amount is based on the first three quarters of 2025 Medicare FFS published prices and utilization and then to project to CY 2027, the Office of the Actuary (OACT) applied the increase between 2025 to 2027 to that data. This amount represents the CY 2027 projected total average Medicare FFS allowed amount for diabetic shoes or inserts (without Part B deductible adjustment), weighted by utilization of the DME shoes, inserts, and shoe modifications HCPCS codes in Table 1. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,,, ,,
,,,,,,
,,,,,,
Table 3: CY 2027 DME Diabetic Shoes or Inserts Copayment Limit for Mandatory Maximum Out-of-Pocket (MOOP) Type,,,,,,
Row Reference,Description,Mandatory MOOP Type1,,,,
A,CY 2027 projected total average Medicare FFS allowed amount1,$56.70 ,,,,
B,CY 2027 coinsurance limit per § 422.100(j)(1),20%,,,,
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(j)(1) (row A multiplied by row B),$11.34 ,,,,
D,Final CY 2027 copayment limit per § 422.100(j)(1) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$10.00 ,,,,
"1 This amount is based on the first three quarters of 2025 Medicare FFS published prices and utilization and then to project to CY 2027, the Office of the Actuary (OACT) applied the increase between 2025 to 2027 to that data. This amount represents the CY 2027 projected total average Medicare FFS allowed amount for diabetic shoes or inserts (without a Part B deductible adjustment), weighted by utilization of the DME shoes, inserts, and shoe modifications HCPCS codes in Table 1. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (as finalized in § 422.100(f)(7)). ",,,,,,
,,,,,,
