Table 1: Contract Year (CY) 2027 Urgently Needed Services Medicare FFS Data Projections,,,,
Measure of Central Tendency,Medicare FFS Allowed Amount (Total Per Session),,,
Median,$108 ,,,
Weighted Average,$129 ,,,
,,,,
,,,,
Table 2: Contract Year (CY) 2027 Urgently Needed Services Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP
A,CY 2027 projected total average Medicare FFS allowed amount1,$129.00 ,,
B,CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$64.50 ,$51.60 ,$38.70 
D,Final CY 2027 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$65.00 ,$50.00 ,$40.00 
"1 This amount is based on 2024 Medicare FFS data and the Office of the Actuary's (OACT's) cost and utilization projections between 2024 to 2027. This amount represents the CY 2027 projected total average Medicare FFS allowed amount per urgent care visit, weighted by the number of visits rendered. This amount includes Medicare's payment plus the out-of-pocket cost for the visit code as well as the other services rendered and Part B drug costs. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)).",,,,
